Unnamed: 0,A1,A2,A3,A4,A5,A6,A7,A8
0,1,1,0,0,1,0,1,1
1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2,1,0,1,1,0,0,1,1
3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0,1,0,0,0,0,1
5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0,0,0,0,1,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,1,0,0,0,0,1
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,0,0,1,0,1,1,0
11,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
12,0,0,1,1,1,0,0,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,1,1,0,0,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1,1,0,1,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1,1,1,0,0,0,0,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,1,1,1,0,1,1,1
21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,1,1,1,0,1,1,0
23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,0,0,0,1,1,0,1,0
25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,1,1,0,0,0,0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,1,1,0,0,0,0,0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1,1,1,0,0,1,1,1
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1,0,1,1,1,1,1,0
33,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
34,1,1,0,1,1,1,1,0
35,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
36,1,0,0,0,1,0,1,1
37,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38,1,0,1,1,1,0,1,0
39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,0,0,0,0,1,0,0,0
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1,1,1,1,0,1,1,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,0,1,1,1,1,1,0
45,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
46,1,1,1,0,0,0,0,1
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0,0,0,1,0,0,0
49,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
50,0,0,0,0,1,0,0,0
51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
52,0,0,0,1,1,1,0,1
53,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
54,0,0,1,0,1,0,1,1
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1,1,1,1,0,1,1,0
57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,1,1,0,0,0,0,1
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,1,1,1,0,0,0,0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,0,0,1,1,1,1,1
63,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
64,0,0,1,1,0,0,1,0
65,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
66,1,0,0,1,0,1,1,0
67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,0,0,0,1,0,0,0
69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1,1,1,0,0,0,0,0
71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72,0,0,0,0,1,0,0,0
73,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
74,0,0,0,0,0,0,1,1
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1,1,1,1,0,1,0,0
77,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
78,1,1,1,1,0,1,1,0
79,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
80,0,0,1,0,0,0,0,1
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,0,0,0,0,1,0,0,0
83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84,1,0,0,1,0,1,1,0
85,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
86,1,1,1,1,1,0,0,1
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,1,1,1,1,0,1,1,0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,1,0,1,1,0,0,1,1
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,0,0,1,1,1,1,0
93,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
94,1,1,1,1,0,1,1,0
95,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
96,0,1,0,0,0,0,1,1
97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1,1,0,1,1,1,1,0
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,1,1,1,0,0,1,0,0
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,1,1,1,0,0,0,0,0
103,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
104,1,0,0,1,1,0,1,0
105,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
106,0,0,1,1,0,0,0,0
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,0,0,0,1,0,1,1,0
109,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
110,0,0,0,0,1,0,0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1,0,0,0,0,1,1,0
113,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
114,0,0,1,1,1,1,1,0
115,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
116,0,0,0,0,1,0,0,0
117,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,1,1,0,0,1,0,1,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
